"listing_id","update_time","listing_name","location_address","orgnization","orgnization_1","orgnization_2","orgnization_3","orgnization_4","orgnization_888","orgnization_1_desc","orgnization_2_desc","orgnization_3_desc","orgnization_4_desc","orgnization_other_desc","diversegroup","diversegroup_1","diversegroup_2","diversegroup_3","diversegroup_4","diversegroup_5","diversegroup_6","diversegroup_888","diversegroup_other_desc","listing_desc","location_x","location_y","location_desc","location_site","location_site_otherdesc","location_indoor","specialproductionmethods","specialproductionmethods_1","specialproductionmethods_2","specialproductionmethods_3","specialproductionmethods_4","specialproductionmethods_5","specialproductionmethods_6","specialproductionmethods_7","specialproductionmethods_8","specialproductionmethods_9","specialproductionmethods_10","specialproductionmethods_11","specialproductionmethods_12","specialproductionmethods_13","specialproductionmethods_14","specialproductionmethods_888","specialproductionmethods_other_desc","saleschannel_onlineorder","saleschannel_onlineorder_1","saleschannel_onlineorder_2","saleschannel_onlineorder_3","saleschannel_onlineorder_2_desc","saleschannel_onlineorder_3_desc","saleschannel_onlineorder_other_desc","saleschannel_phoneorder","saleschannel_csaorder","saleschannel_csaorder_1","saleschannel_csaorder_2","saleschannel_csaorder_3","saleschannel_csaorder_1_desc","saleschannel_csaorder_2_desc","saleschannel_csaorder_3_desc","saleschannel_csa_vendor","saleschannel_csa_vendor_1","saleschannel_csa_vendor_2","saleschannel_deliverymethod","saleschannel_deliverymethod_1","saleschannel_deliverymethod_2","saleschannel_deliverymethod_3","saleschannel_deliverymethod_2_desc","acceptedpayment","acceptedpayment_1","acceptedpayment_2","acceptedpayment_3","acceptedpayment_4","acceptedpayment_5","acceptedpayment_6","acceptedpayment_7","acceptedpayment_888","acceptedpayment_7_desc","acceptedpayment_other_desc","FNAP","FNAP_1","FNAP_2","FNAP_3","FNAP_4","FNAP_5","FNAP_888","SNAP_option","SNAP_option_1","SNAP_option_2","FNAP_3_desc","webscriping","lon","lat"
"300024","2021-01-26 08:30:18","Forest farmers market","15583 Forest Road, Forest, Virginia 24551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-79.285443","37.3643700","Behind the Library.","Local government building grounds;","Forest Library parking lot.","Entire time the market is open indoor;","Organic (USDA Certified);","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Debit card/Credit card;","0","0","0","0","0","1","0","0",NA,NA,"SNAP;Accept EBT at a central location;;","0","1","0","0","0","0","Accept EBT at a central location;","1","0",NA,NA,-79.2850176,37.3649912
"300156","2021-01-26 13:43:45","Salem Farmers Market","3 East Main Street, Salem, Virginia 24153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-80.058606","37.292997","On the corner of Main and Broad Street","Local government building grounds;",NA,"No Indoor;","Organic (USDA Certified);","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Debit card/Credit card;","0","0","0","0","0","1","0","0",NA,NA,"SNAP;Accept EBT at a central location;;","0","1","0","0","0","0","Accept EBT at a central location;","1","0",NA,NA,-80.0586535,37.2928204
"300467","2021-01-07 06:40:36","Wytheville Farmers Market","210 W. Spring Street, Wytheville , Virginia 24368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-81.083367","36.9486397","Downtown Wytheville","Local government building grounds;",NA,"Entire time the market is open indoor;","Organic (USDA Certified);","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Debit card/Credit card;","0","0","0","0","0","1","0","0",NA,NA,"SNAP;Accept EBT at a central location;;","0","1","0","0","0","0","Accept EBT at a central location;","1","0",NA,NA,-81.0839177,36.948518
"300469","2021-02-01 14:02:01","Grandin Village Farmers Market","2080 Westover Ave SW, Roanoke, Virginia 24015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-79.978064","37.265053","Located in the large parking lot behind the Grandin CoLab","Private business parking lot;",NA,"No Indoor;","Organic (USDA Certified);","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Debit card/Credit card;","0","0","0","0","0","1","0","0",NA,NA,"SNAP;Accept EBT at a central location;;","0","1","0","0","0","0","Accept EBT at a central location;","1","0",NA,NA,-79.9800975,37.2648503
"301590","2021-08-23 11:23:51","Rocky Mount Farmers Market","435 Franklin St, Rocky Mount, Virginia 24151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-79.888073","36.994866","at Citizen Square","Local government building grounds;",NA,"No Indoor;","Organic (USDA Certified);","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Debit card/Credit card;","0","0","0","0","0","1","0","0",NA,NA,"WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;","1","1","0","0","1","0","Accept EBT at a central location;","1","0",NA,NA,-79.8918261,36.9970689
"301601","2021-09-27 14:07:30","The Historic City Market","213 Market St SE 3rd Floor, Downtown Roanoke Inc., Roanoke, Virginia 24011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-79.939064","37.271606",NA,"Local government building grounds;",NA,"No Indoor;","Organic (USDA Certified);","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Debit card/Credit card;","0","0","0","0","0","1","0","0",NA,NA,"SNAP;Accept EBT at a central location;;","0","1","0","0","0","0","Accept EBT at a central location;","1","0",NA,NA,-79.9396877,37.2712554
"313037","2023-03-27 10:47:08","Bedford Farmers Market","220 W Washington St, Bedford, Virginia 24523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-79.52428483366253","37.333560739947885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.5248131,37.3337785
"313038","2023-03-27 10:47:08","Bedford VA Farmers' Market","220 West Washington Street Bedford, VA 24523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-79.52428483366253","37.333560739947885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.5248131,37.3337785
"313040","2023-03-27 10:47:08","Blacksburg Farmers' Market","100 Draper Rd. NW, Blacksburg, VA, 24060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-80.41481834599834","37.22883813809762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.4142866,37.22863
"313070","2023-03-27 10:47:12","Clifton Forge Farmer's Market","501 E. Ridgeway Street Clifton Forge, VA 24422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-79.82579486345466","37.81565269146731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8255609,37.8156404
